Date,Revenue ($),Daily Active Users (DAU),New Registrations,Revenue_Lag1,DAU_Lag1,New_Registrations_Lag1,Revenue_MA4,DAU_MA4,New_Registrations_MA4
2010-01-03,3249080.237694725,252041.5567649481,22157.76965522319,3506036.1019457905,545764.0760496986,40458.5896993054,3506036.1019457905,545764.0760496986,40458.5896993054
2010-01-10,4401428.612819832,350731.30512876273,17967.735321372504,3249080.237694725,252041.5567649481,22157.76965522319,3506036.1019457905,545764.0760496986,40458.5896993054
2010-01-17,3963987.8836228102,259309.43584907212,13252.314075751714,4401428.612819832,350731.30512876273,17967.735321372504,3506036.1019457905,545764.0760496986,40458.5896993054
2010-01-24,3697316.968394073,179832.28038135005,11901.392202286026,3963987.8836228102,259309.43584907212,13252.314075751714,3827953.42563286,260478.64453103323,16319.802813658358
2010-01-31,2812037.280884873,208572.28399054072,15524.485513483329,3697316.968394073,179832.28038135005,11901.392202286026,3718692.686430397,249611.3263374314,14661.481778223395
2010-02-07,2811989.040672405,514700.8912294532,45561.513789245306,2812037.280884873,208572.28399054072,15524.485513483329,3321332.79339354,290603.722862604,21559.926395191593
2010-02-14,2616167.2243363988,285700.3465652133,24045.903623404985,2811989.040672405,514700.8912294532,45561.513789245306,2984377.628571938,297201.4505416393,24258.32378210491
2010-02-21,4232352.291549871,427842.8749432679,30930.95853922399,2616167.2243363988,285700.3465652133,24045.903623404985,3118136.4593608873,359204.0991821188,29015.715366339402
2010-02-28,3702230.0234864177,553075.5437693712,35220.588050645194,4232352.291549871,427842.8749432679,30930.95853922399,3340684.645011273,445329.9141268264,33939.741000629874
2010-03-07,3916145.155592091,721355.3457664287,72031.8217174936,3702230.0234864177,553075.5437693712,35220.588050645194,3616723.6737411944,496993.5277610703,40557.317982691944
2010-03-14,2541168.988591605,135380.92585698905,9653.887256831618,3916145.155592091,721355.3457664287,72031.8217174936,3597974.114804996,459413.67258401425,36959.3138910486
2010-03-21,4439819.704323988,819469.3590181384,59468.359725734124,2541168.988591605,135380.92585698905,9653.887256831618,3649840.967998525,557320.2936027318,44093.66418767614
